date,gold_price,usd_rate,oil_price,bond_yield_price,interest_rate,inflation_rate,gold_price_after_1_day
2015-03-12,1151.9,99.44,47.05,2.11,0.11,1.71,1152.4
2015-03-13,1152.4,100.33,44.84,2.118,0.11,1.69,1153.2
2015-03-16,1153.2,99.6,43.88,2.074,0.12,1.65,1148.2
2015-03-17,1148.2,99.58,43.46,2.052,0.12,1.64,1151.3
2015-03-18,1151.3,98.55,44.66,1.918,0.11,1.7,1169.0
2015-03-19,1169.0,99.26,43.96,1.97,0.12,1.79,1184.6
2015-03-20,1184.6,97.91,45.72,1.932,0.12,1.76,1187.7
2015-03-23,1187.7,97.03,47.45,1.909,0.12,1.75,1191.4
2015-03-24,1191.4,97.19,47.51,1.873,0.11,1.77,1197.0
2015-03-25,1197.0,96.98,49.21,1.927,0.12,1.81,1204.8
2015-03-26,1204.8,97.44,51.43,1.996,0.11,1.8,1199.8
2015-03-27,1199.8,97.29,48.87,1.96,0.12,1.76,1185.3
2015-03-30,1185.3,97.97,48.68,1.953,0.12,1.73,1183.2
2015-03-31,1183.2,98.36,47.6,1.927,0.06,1.76,1208.2
2015-04-01,1208.2,98.19,50.09,1.859,0.12,1.8,1200.9
2015-04-02,1200.9,97.44,49.14,1.913,0.12,1.81,1205.75
2015-04-06,1218.6,96.78,52.14,1.899,0.13,1.85,1210.6
2015-04-07,1210.6,97.83,53.98,1.887,0.12,1.85,1203.1
2015-04-08,1203.1,97.94,50.42,1.906,0.12,1.84,1193.6
2015-04-09,1193.6,99.16,50.79,1.963,0.12,1.84,1204.6
2015-04-10,1204.6,99.34,51.64,1.949,0.12,1.82,1199.3
2015-04-13,1199.3,99.49,51.91,1.93,0.13,1.8,1192.6
2015-04-14,1192.6,98.73,53.29,1.9,0.13,1.8,1201.3
2015-04-15,1201.3,98.32,56.39,1.89,0.13,1.84,1198.0
2015-04-16,1198.0,97.42,56.71,1.895,0.13,1.85,1203.1
2015-04-17,1203.1,97.52,55.74,1.865,0.13,1.89,1193.7
2015-04-20,1193.7,97.94,56.38,1.886,0.13,1.89,1203.1
2015-04-21,1203.1,98.0,55.26,1.911,0.13,1.86,1186.9
2015-04-22,1186.9,97.93,56.16,1.982,0.13,1.87,1194.3
2015-04-23,1194.3,97.28,57.74,1.954,0.13,1.89,1175.0
2015-04-24,1175.0,96.92,57.15,1.914,0.13,1.89,1203.2
2015-04-27,1203.2,96.77,56.99,1.926,0.13,1.91,1213.9
2015-04-28,1213.9,96.09,57.06,2.003,0.13,1.89,1210.0
2015-04-29,1210.0,95.21,58.58,2.046,0.13,1.92,1182.4
2015-04-30,1182.4,94.6,59.63,2.035,0.08,1.94,1174.5
2015-05-01,1174.5,95.3,59.15,2.112,0.13,1.94,1186.8
2015-05-04,1186.8,95.48,58.93,2.146,0.13,1.92,1193.2
2015-05-05,1193.2,95.08,60.4,2.182,0.13,1.94,1190.3
2015-05-06,1190.3,94.09,60.93,2.252,0.13,1.91,1182.2
2015-05-07,1182.2,94.64,58.94,2.178,0.13,1.88,1188.9
2015-05-08,1188.9,94.79,59.39,2.142,0.13,1.88,1183.0
2015-05-11,1183.0,95.01,59.25,2.287,0.13,1.88,1192.4
2015-05-12,1192.4,94.53,60.75,2.247,0.13,1.88,1218.2
2015-05-13,1218.2,93.62,60.5,2.295,0.13,1.86,1225.2
2015-05-14,1225.2,93.46,59.88,2.235,0.13,1.87,1225.3
2015-05-15,1225.3,93.14,59.69,2.148,0.13,1.83,1227.6
2015-05-18,1227.6,94.22,59.43,2.234,0.13,1.86,1206.7
2015-05-19,1206.7,95.27,57.26,2.29,0.12,1.85,1208.7
2015-05-20,1208.7,95.45,58.98,2.257,0.12,1.88,1204.1
2015-05-21,1204.1,95.25,60.72,2.195,0.12,1.84,1204.0
2015-05-22,1204.0,96.11,59.72,2.215,0.13,1.87,1186.9
2015-05-27,1185.6,97.37,57.51,2.13,0.12,1.8,1188.8
2015-05-28,1188.8,96.97,57.68,2.135,0.12,1.8,1189.8
2015-05-29,1189.8,96.91,60.3,2.123,0.08,1.8,1188.7
2015-06-01,1188.7,97.39,60.2,2.183,0.12,1.8,1194.4
2015-06-02,1194.4,95.83,61.26,2.266,0.12,1.83,1184.9
2015-06-03,1184.9,95.47,59.64,2.361,0.13,1.83,1175.2
2015-06-04,1175.2,95.46,58.0,2.309,0.13,1.81,1168.1
2015-06-05,1168.1,96.31,59.13,2.409,0.13,1.86,1173.6
2015-06-08,1173.6,95.3,58.14,2.382,0.13,1.85,1177.6
2015-06-09,1177.6,95.17,60.14,2.442,0.13,1.86,1186.6
2015-06-10,1186.6,94.65,61.43,2.486,0.13,1.87,1180.4
2015-06-11,1180.4,94.98,60.77,2.381,0.13,1.83,1179.2
2015-06-12,1179.2,94.97,59.96,2.39,0.13,1.84,1185.8
2015-06-15,1185.8,94.81,59.52,2.36,0.13,1.85,1180.9
2015-06-16,1180.9,95.0,59.97,2.309,0.14,1.88,1176.8
2015-06-17,1176.8,94.3,59.92,2.32,0.14,1.9,1202.0
2015-06-18,1202.0,94.04,60.45,2.334,0.14,1.89,1201.9
2015-06-19,1201.9,94.08,59.61,2.261,0.13,1.86,1184.1
2015-06-22,1184.1,94.33,59.68,2.374,0.13,1.9,1176.6
2015-06-23,1176.6,95.43,61.01,2.414,0.13,1.92,1172.9
2015-06-24,1172.9,95.26,60.27,2.373,0.13,1.9,1171.8
2015-06-25,1171.8,95.19,59.7,2.412,0.13,1.91,1173.2
2015-06-26,1173.2,95.47,59.63,2.474,0.13,1.92,1179.0
2015-06-29,1179.0,94.79,58.33,2.328,0.14,1.87,1171.8
2015-06-30,1171.8,95.48,59.47,2.349,0.08,1.87,1169.3
2015-07-01,1169.3,96.31,56.96,2.427,0.13,1.89,1163.5
2015-07-02,1163.5,96.11,56.93,2.386,0.13,1.91,1173.2
2015-07-07,1152.6,96.86,52.33,2.255,0.13,1.87,1163.5
2015-07-08,1163.5,96.29,51.65,2.197,0.13,1.83,1159.2
2015-07-09,1159.2,96.61,52.78,2.317,0.13,1.85,1157.9
2015-07-10,1157.9,96.03,52.74,2.401,0.13,1.87,1155.4
2015-07-13,1155.4,96.86,52.2,2.446,0.13,1.86,1153.5
2015-07-14,1153.5,96.64,53.04,2.397,0.13,1.85,1147.4
2015-07-15,1147.4,97.17,51.41,2.356,0.13,1.84,1143.9
2015-07-16,1143.9,97.67,50.91,2.356,0.14,1.84,1131.9
2015-07-17,1131.9,97.86,50.89,2.347,0.13,1.83,1106.8
2015-07-20,1106.8,98.03,50.15,2.38,0.14,1.82,1103.5
2015-07-21,1103.5,97.33,50.36,2.331,0.13,1.82,1091.5
2015-07-22,1091.5,97.6,49.19,2.327,0.13,1.8,1094.1
2015-07-23,1094.1,97.11,48.45,2.269,0.13,1.79,1085.5
2015-07-24,1085.5,97.24,48.14,2.262,0.13,1.76,1096.4
2015-07-27,1096.4,96.5,47.39,2.216,0.14,1.73,1096.2
2015-07-28,1096.2,96.77,47.98,2.25,0.14,1.75,1092.6
2015-07-29,1092.6,96.98,48.79,2.289,0.14,1.77,1088.7
2015-07-30,1088.7,97.56,48.52,2.257,0.14,1.77,1095.1
2015-07-31,1095.1,97.34,47.12,2.187,0.08,1.74,1089.4
2015-08-03,1089.4,97.49,45.17,2.15,0.14,1.7,1090.7
2015-08-04,1090.7,97.93,45.74,2.223,0.14,1.71,1085.6
2015-08-05,1085.6,97.96,45.15,2.27,0.14,1.7,1090.1
2015-08-06,1090.1,97.83,44.66,2.227,0.14,1.67,1094.1
2015-08-07,1094.1,97.56,43.87,2.166,0.14,1.66,1104.1
2015-08-10,1104.1,97.16,44.96,2.232,0.14,1.69,1107.7
2015-08-11,1107.7,97.29,43.08,2.143,0.15,1.66,1123.6
2015-08-12,1123.6,96.26,43.3,2.148,0.15,1.62,1115.6
2015-08-13,1115.6,96.44,42.23,2.189,0.15,1.62,1112.7
2015-08-14,1112.7,96.52,42.5,2.201,0.14,1.62,1118.4
2015-08-17,1118.4,96.81,41.87,2.17,0.15,1.58,1116.9
2015-08-18,1116.9,97.04,42.62,2.192,0.15,1.58,1127.9
2015-08-19,1127.9,96.36,40.8,2.129,0.15,1.57,1153.2
2015-08-20,1153.2,95.98,41.14,2.073,0.15,1.56,1159.6
2015-08-21,1159.6,95.01,40.45,2.045,0.15,1.53,1153.6
2015-08-24,1153.6,93.33,38.24,2.012,0.15,1.49,1138.3
2015-08-25,1138.3,94.53,39.31,2.078,0.15,1.53,1124.6
2015-08-26,1124.6,95.1,38.6,2.18,0.14,1.53,1122.6
2015-08-27,1122.6,95.61,42.56,2.191,0.14,1.58,1134.0
2015-08-28,1134.0,96.11,45.22,2.184,0.14,1.61,1132.5
2015-08-31,1132.5,95.82,49.2,2.214,0.08,1.63,1139.8
2015-09-01,1139.8,95.45,45.41,2.159,0.14,1.57,1133.6
2015-09-02,1133.6,95.83,46.25,2.188,0.14,1.56,1124.5
2015-09-03,1124.5,96.41,46.75,2.163,0.14,1.54,1121.4
2015-09-04,1121.4,96.23,46.05,2.131,0.14,1.51,1121.0
2015-09-09,1102.0,96.01,44.15,2.195,0.14,1.56,1109.3
2015-09-10,1109.3,95.46,45.92,2.227,0.14,1.59,1103.3
2015-09-11,1103.3,95.19,44.63,2.187,0.14,1.59,1107.7
2015-09-14,1107.7,95.25,44.0,2.183,0.14,1.56,1102.6
2015-09-15,1102.6,95.61,44.59,2.292,0.14,1.56,1119.0
2015-09-16,1119.0,95.42,47.15,2.296,0.14,1.57,1117.0
2015-09-17,1117.0,94.55,46.9,2.192,0.14,1.58,1137.8
2015-09-18,1137.8,94.86,44.68,2.134,0.14,1.55,1132.8
2015-09-21,1132.8,95.89,46.68,2.199,0.14,1.54,1124.8
2015-09-22,1124.8,96.28,45.83,2.132,0.14,1.51,1131.5
2015-09-23,1131.5,96.07,44.48,2.151,0.14,1.52,1153.8
2015-09-24,1153.8,96.69,44.91,2.128,0.14,1.49,1145.6
2015-09-25,1145.6,96.27,45.7,2.166,0.13,1.46,1131.7
2015-09-28,1131.7,96.03,44.43,2.098,0.13,1.39,1126.8
2015-09-29,1126.8,95.86,45.23,2.06,0.13,1.39,1115.2
2015-09-30,1115.2,96.35,45.09,2.035,0.07,1.41,1113.7
2015-10-01,1113.7,96.19,44.74,2.042,0.13,1.46,1136.6
2015-10-02,1136.6,95.83,45.54,1.991,0.13,1.48,1137.6
2015-10-05,1137.6,96.11,46.26,2.058,0.13,1.51,1146.4
2015-10-06,1146.4,95.45,48.53,2.035,0.13,1.52,1148.7
2015-10-07,1148.7,95.5,47.81,2.065,0.13,1.55,1144.3
2015-10-08,1144.3,95.32,49.43,2.102,0.13,1.58,1155.9
2015-10-09,1155.9,94.81,49.63,2.09,0.13,1.54,1164.5
2015-10-13,1165.4,94.76,46.66,2.042,0.13,1.52,1179.8
2015-10-14,1179.8,93.93,46.64,1.975,0.13,1.49,1187.5
2015-10-15,1187.5,94.37,46.38,2.019,0.13,1.5,1183.1
2015-10-16,1183.1,94.54,47.26,2.035,0.13,1.48,1172.8
2015-10-19,1172.8,94.93,45.89,2.023,0.13,1.45,1177.5
2015-10-20,1177.5,94.91,45.55,2.069,0.13,1.48,1167.1
2015-10-21,1167.1,95.03,45.2,2.028,0.13,1.45,1166.1
2015-10-22,1166.1,96.38,45.38,2.028,0.12,1.47,1162.8
2015-10-23,1162.8,97.13,44.6,2.087,0.12,1.51,1166.2
2015-10-26,1166.2,96.86,43.98,2.058,0.12,1.48,1165.8
2015-10-27,1165.8,96.91,43.2,2.037,0.12,1.48,1176.1
2015-10-28,1176.1,97.78,45.94,2.101,0.12,1.47,1147.3
2015-10-29,1147.3,97.28,46.06,2.172,0.12,1.52,1141.4
2015-10-30,1141.4,96.95,46.59,2.146,0.07,1.53,1135.9
2015-11-02,1135.9,96.93,46.14,2.176,0.12,1.55,1114.1
2015-11-03,1114.1,97.16,47.9,2.218,0.12,1.58,1106.2
2015-11-04,1106.2,97.95,46.32,2.227,0.12,1.57,1104.2
2015-11-05,1104.2,97.94,45.2,2.236,0.12,1.55,1087.7
2015-11-06,1087.7,99.17,44.29,2.325,0.12,1.59,1088.1
2015-11-09,1088.1,98.98,43.87,2.349,0.12,1.6,1088.5
2015-11-10,1088.5,99.29,44.21,2.336,0.12,1.55,1084.9
2015-11-12,1081.0,98.65,41.75,2.315,0.12,1.54,1080.9
2015-11-13,1080.9,99.0,40.74,2.275,0.12,1.52,1083.6
2015-11-16,1083.6,99.44,41.74,2.271,0.13,1.51,1068.6
2015-11-17,1068.6,99.63,40.67,2.268,0.13,1.53,1068.7
2015-11-18,1068.7,99.65,40.75,2.273,0.12,1.56,1077.9
2015-11-19,1077.9,98.99,40.54,2.247,0.12,1.56,1076.3
2015-11-20,1076.3,99.56,40.39,2.264,0.12,1.6,1066.8
2015-11-23,1066.8,99.8,41.75,2.243,0.12,1.61,1073.8
2015-11-24,1073.8,99.53,42.87,2.239,0.12,1.62,1070.0
2015-11-25,1070.0,99.8,43.04,2.234,0.12,1.61,1056.2
2015-11-30,1065.3,100.17,41.65,2.208,0.08,1.59,1063.5
2015-12-01,1063.5,99.8,41.85,2.145,0.13,1.57,1053.8
2015-12-02,1053.8,99.99,39.94,2.178,0.13,1.56,1061.2
2015-12-03,1061.2,97.62,41.08,2.321,0.13,1.61,1084.1
2015-12-04,1084.1,98.35,39.97,2.273,0.13,1.6,1075.2
2015-12-07,1075.2,98.66,37.65,2.236,0.13,1.56,1075.3
2015-12-08,1075.3,98.47,37.51,2.222,0.13,1.56,1076.5
2015-12-09,1076.5,97.34,37.16,2.211,0.14,1.53,1072.0
2015-12-10,1072.0,97.94,36.76,2.234,0.14,1.51,1075.7
2015-12-11,1075.7,97.56,35.62,2.132,0.14,1.46,1063.4
2015-12-14,1063.4,97.6,36.31,2.225,0.15,1.45,1061.6
2015-12-15,1061.6,98.22,37.35,2.268,0.15,1.48,1076.8
2015-12-16,1076.8,97.87,35.52,2.298,0.15,1.46,1049.6
2015-12-17,1049.6,99.27,34.95,2.225,0.37,1.47,1065.0
2015-12-18,1065.0,98.7,34.73,2.204,0.37,1.46,1080.6
2015-12-21,1080.6,98.36,34.74,2.195,0.36,1.45,1074.1
2015-12-22,1074.1,98.23,36.14,2.237,0.36,1.46,1068.3
2015-12-23,1068.3,98.34,37.5,2.259,0.36,1.51,1075.9
2015-12-24,1075.9,97.98,38.1,2.245,0.36,1.52,1071.95
2015-12-28,1068.3,97.92,36.81,2.232,0.36,1.5,1068.0
2015-12-29,1068.0,98.1,37.87,2.308,0.36,1.53,1059.8
2015-12-30,1059.8,98.27,36.6,2.294,0.35,1.54,1060.2
2015-12-31,1060.2,98.63,37.04,2.269,0.2,1.54,1069.3000000000002
2016-01-04,1075.2,98.87,36.76,2.243,0.36,1.55,1078.4
2016-01-05,1078.4,99.4,35.97,2.239,0.36,1.56,1091.9
2016-01-06,1091.9,99.18,33.97,2.17,0.36,1.53,1107.8
2016-01-07,1107.8,98.22,33.27,2.149,0.36,1.5,1097.9
2016-01-08,1097.9,98.54,33.16,2.116,0.36,1.48,1096.2
2016-01-11,1096.2,98.72,31.41,2.175,0.36,1.45,1085.2
2016-01-12,1085.2,98.97,30.44,2.105,0.36,1.43,1087.1
2016-01-13,1087.1,98.93,30.48,2.091,0.36,1.43,1073.6
2016-01-14,1073.6,99.09,31.2,2.091,0.36,1.43,1090.7
2016-01-15,1090.7,98.96,29.42,2.037,0.36,1.36,1089.1
2016-01-20,1106.2,99.09,26.55,1.988,0.37,1.32,1098.2
2016-01-21,1098.2,99.06,29.53,2.028,0.37,1.28,1096.3
2016-01-22,1096.3,99.57,32.19,2.057,0.38,1.35,1105.3
2016-01-25,1105.3,99.36,30.34,2.006,0.38,1.34,1120.2
2016-01-26,1120.2,99.36,31.45,2.003,0.38,1.36,1115.8
2016-01-27,1115.8,98.9,32.3,2.003,0.38,1.4,1116.1
2016-01-28,1116.1,98.51,33.22,1.982,0.38,1.42,1116.4
2016-01-29,1116.4,99.61,33.62,1.923,0.29,1.41,1128.0
2016-02-01,1128.0,99.01,31.62,1.95,0.38,1.4,1127.2
2016-02-02,1127.2,98.87,29.88,1.852,0.38,1.36,1141.3
2016-02-03,1141.3,97.29,32.28,1.883,0.38,1.38,1157.5
2016-02-04,1157.5,96.47,31.72,1.846,0.38,1.36,1157.7
2016-02-05,1157.7,97.03,30.89,1.843,0.38,1.33,1197.9
2016-02-08,1197.9,96.57,29.69,1.748,0.38,1.23,1198.6
2016-02-09,1198.6,96.07,27.94,1.731,0.38,1.21,1194.6
2016-02-10,1194.6,95.89,27.45,1.673,0.38,1.21,1247.8
2016-02-11,1247.8,95.56,26.21,1.664,0.38,1.18,1239.4
2016-02-12,1239.4,95.94,29.44,1.746,0.38,1.25,1208.2
2016-02-17,1211.4,96.79,30.66,1.816,0.37,1.28,1226.3
2016-02-18,1226.3,96.95,30.77,1.741,0.38,1.24,1230.8
2016-02-19,1230.8,96.6,29.64,1.743,0.38,1.26,1210.1
2016-02-22,1210.1,97.38,31.48,1.755,0.38,1.31,1222.6
2016-02-23,1222.6,97.48,31.87,1.716,0.38,1.32,1239.1
2016-02-24,1239.1,97.46,32.15,1.752,0.38,1.36,1238.8
2016-02-25,1238.8,97.29,33.07,1.714,0.37,1.39,1220.4
2016-02-26,1220.4,98.15,32.78,1.764,0.37,1.41,1234.4
2016-02-29,1234.4,98.21,33.75,1.738,0.29,1.42,1230.8
2016-03-01,1230.8,98.35,34.4,1.827,0.36,1.48,1241.8
2016-03-02,1241.8,98.21,34.66,1.835,0.37,1.51,1258.2
2016-03-03,1258.2,97.59,34.57,1.835,0.37,1.53,1270.7
2016-03-04,1270.7,97.34,35.92,1.876,0.36,1.51,1264.0
2016-03-07,1264.0,97.07,37.9,1.904,0.36,1.48,1262.9
2016-03-08,1262.9,97.21,36.5,1.831,0.36,1.46,1257.4
2016-03-09,1257.4,97.17,38.29,1.88,0.36,1.51,1272.8
2016-03-10,1272.8,96.07,37.84,1.936,0.36,1.48,1259.4
2016-03-11,1259.4,96.17,38.5,1.98,0.36,1.54,1245.1
2016-03-14,1245.1,96.62,37.18,1.961,0.36,1.52,1231.0
2016-03-15,1231.0,96.63,36.34,1.968,0.37,1.5,1229.8
2016-03-16,1229.8,95.89,38.46,1.913,0.37,1.58,1265.0
2016-03-17,1265.0,94.76,40.2,1.898,0.37,1.57,1254.3
2016-03-18,1254.3,95.09,39.44,1.877,0.37,1.61,1244.2
2016-03-21,1244.2,95.29,39.91,1.917,0.37,1.64,1248.6
2016-03-22,1248.6,95.65,41.45,1.944,0.37,1.63,1224.0
2016-03-23,1224.0,96.05,39.79,1.879,0.37,1.58,1221.6
2016-03-24,1221.6,96.14,39.46,1.9,0.37,1.57,1228.6999999999998
2016-03-28,1220.1,95.94,39.39,1.883,0.37,1.56,1235.8
2016-03-29,1235.8,95.16,38.28,1.804,0.37,1.61,1228.6
2016-03-30,1228.6,94.84,38.32,1.828,0.37,1.65,1235.6
2016-03-31,1235.6,94.59,38.34,1.77,0.25,1.62,1223.5
2016-04-01,1223.5,94.62,36.79,1.774,0.37,1.62,1219.3
2016-04-04,1219.3,94.51,35.7,1.762,0.37,1.64,1229.6
2016-04-05,1229.6,94.63,35.89,1.72,0.37,1.59,1223.8
2016-04-06,1223.8,94.43,37.75,1.758,0.37,1.59,1237.5
2016-04-07,1237.5,94.48,37.26,1.687,0.37,1.58,1243.8
2016-04-08,1243.8,94.23,39.72,1.717,0.37,1.58,1258.0
2016-04-11,1258.0,93.95,40.36,1.722,0.37,1.56,1260.9
2016-04-12,1260.9,93.96,42.17,1.776,0.37,1.57,1248.3
2016-04-13,1248.3,94.74,41.76,1.766,0.37,1.56,1226.5
2016-04-14,1226.5,94.9,41.5,1.792,0.37,1.56,1234.6
2016-04-15,1234.6,94.7,40.36,1.753,0.37,1.56,1235.0
2016-04-18,1235.0,94.49,39.78,1.771,0.37,1.57,1254.3
2016-04-19,1254.3,93.98,41.08,1.787,0.37,1.6,1254.4
2016-04-20,1254.4,94.49,42.63,1.845,0.37,1.62,1250.3
2016-04-21,1250.3,94.6,43.18,1.865,0.37,1.64,1230.0
2016-04-22,1230.0,95.12,43.73,1.891,0.37,1.64,1240.2
2016-04-25,1240.2,94.84,42.64,1.914,0.37,1.65,1243.4
2016-04-26,1243.4,94.57,44.04,1.931,0.37,1.67,1250.4
2016-04-27,1250.4,94.39,45.33,1.852,0.37,1.68,1266.4
2016-04-28,1266.4,93.76,46.03,1.824,0.37,1.72,1290.5
2016-04-29,1290.5,93.08,45.92,1.835,0.3,1.71,1295.8
2016-05-02,1295.8,92.63,44.78,1.872,0.37,1.68,1291.8
2016-05-03,1291.8,92.94,43.65,1.796,0.37,1.64,1274.4
2016-05-04,1274.4,93.18,43.78,1.777,0.37,1.63,1272.3
2016-05-05,1272.3,93.78,44.32,1.742,0.37,1.63,1294.0
2016-05-06,1294.0,93.89,44.66,1.779,0.37,1.61,1266.6
2016-05-09,1266.6,94.13,43.44,1.751,0.37,1.59,1264.8
2016-05-10,1264.8,94.29,44.66,1.754,0.37,1.62,1275.5
2016-05-11,1275.5,93.82,46.23,1.735,0.37,1.59,1271.2
2016-05-12,1271.2,94.15,46.7,1.748,0.37,1.6,1272.7
2016-05-13,1272.7,94.61,46.21,1.702,0.37,1.58,1274.2
2016-05-16,1274.2,94.57,47.72,1.757,0.37,1.6,1276.9
2016-05-17,1276.9,94.55,48.31,1.772,0.37,1.61,1274.4
2016-05-18,1274.4,95.08,48.19,1.859,0.37,1.61,1254.8
2016-05-19,1254.8,95.29,48.16,1.847,0.37,1.56,1252.9
2016-05-20,1252.9,95.33,47.75,1.844,0.37,1.56,1251.5
2016-05-23,1251.5,95.23,48.08,1.835,0.37,1.54,1229.2
2016-05-24,1229.2,95.57,48.62,1.865,0.37,1.55,1223.8
2016-05-25,1223.8,95.35,49.56,1.872,0.37,1.58,1220.4
2016-05-26,1220.4,95.17,49.48,1.83,0.37,1.58,1216.7
2016-05-27,1216.7,95.52,49.33,1.851,0.37,1.58,1217.5
2016-06-01,1214.7,95.45,49.01,1.839,0.37,1.54,1212.6
2016-06-02,1212.6,95.56,49.17,1.799,0.37,1.54,1242.9
2016-06-03,1242.9,94.03,48.62,1.702,0.37,1.52,1247.4
2016-06-06,1247.4,93.9,49.69,1.737,0.37,1.54,1247.0
2016-06-07,1247.0,93.83,50.36,1.716,0.37,1.57,1262.3
2016-06-08,1262.3,93.59,51.23,1.704,0.37,1.59,1272.7
2016-06-09,1272.7,93.95,50.56,1.682,0.37,1.56,1275.9
2016-06-10,1275.9,94.57,49.07,1.644,0.37,1.52,1286.9
2016-06-13,1286.9,94.36,48.88,1.613,0.37,1.47,1288.1
2016-06-14,1288.1,94.93,48.49,1.613,0.37,1.45,1288.3
2016-06-15,1288.3,94.61,48.01,1.575,0.37,1.47,1298.4
2016-06-16,1298.4,94.57,46.21,1.579,0.38,1.42,1294.8
2016-06-17,1294.8,94.21,47.98,1.611,0.38,1.42,1292.1
2016-06-20,1292.1,93.61,49.37,1.678,0.38,1.43,1272.5
2016-06-21,1272.5,94.02,48.85,1.709,0.38,1.43,1270.0
2016-06-22,1270.0,93.72,49.13,1.687,0.38,1.44,1263.1
2016-06-23,1263.1,93.53,50.11,1.744,0.39,1.5,1322.4
2016-06-24,1322.4,95.45,47.64,1.562,0.4,1.42,1324.7
2016-06-27,1324.7,96.54,46.33,1.444,0.41,1.34,1317.9
2016-06-28,1317.9,96.25,47.85,1.465,0.41,1.37,1326.9
2016-06-29,1326.9,95.77,49.88,1.517,0.41,1.4,1320.6
2016-06-30,1320.6,96.14,48.33,1.475,0.3,1.4,1339.0
2016-07-01,1339.0,95.65,48.99,1.456,0.41,1.43,1358.7
2016-07-06,1367.1,96.05,47.43,1.373,0.4,1.43,1362.1
2016-07-07,1362.1,96.33,45.14,1.385,0.4,1.43,1358.4
2016-07-08,1358.4,96.3,45.41,1.358,0.4,1.43,1356.6
2016-07-11,1356.6,96.57,44.76,1.43,0.4,1.42,1335.3
2016-07-12,1335.3,96.44,46.8,1.507,0.4,1.46,1343.6
2016-07-13,1343.6,96.22,44.75,1.473,0.4,1.45,1332.2
2016-07-14,1332.2,96.08,45.68,1.537,0.4,1.45,1327.4
2016-07-15,1327.4,96.58,45.95,1.558,0.4,1.49,1329.3
