"o-teaser__tag","o-teaser__tag href","js-teaser-heading-link","js-teaser-heading-link href","js-teaser-standfirst-link","js-teaser-standfirst-link href","o-teaser__timestamp-date","o-teaser__image-container href","o-teaser__image src"
"UK inflation","https://www.ft.com/stream/77b28b2b-7a5c-4103-a86f-9af8ba039296","UK shop prices fall for first time in almost three years","https://www.ft.com/content/a2a9902f-d712-4f6a-b1a5-1dab043290d4","Retail deflation returns after stores discount summer stock following weak sales","https://www.ft.com/content/a2a9902f-d712-4f6a-b1a5-1dab043290d4","August 26, 2024","https://www.ft.com/content/a2a9902f-d712-4f6a-b1a5-1dab043290d4","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F416a0ff0-08e9-4b7d-806e-87fc847b5fb4.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Aerospace & Defence","https://www.ft.com/stream/5399a465-5c92-47e0-a4ca-29220636f629","Global defence orders surge as geopolitical tensions mount","https://www.ft.com/content/001d2e1c-8e59-444b-a07b-9a62be620431","Sustained state spending on weapons drives investor interest in sector","https://www.ft.com/content/001d2e1c-8e59-444b-a07b-9a62be620431","December 27, 2023","https://www.ft.com/content/001d2e1c-8e59-444b-a07b-9a62be620431","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F45e109ed-4b33-42d3-8548-ad01330471be.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Mergers & Acquisitions","https://www.ft.com/stream/9d13b836-df76-4445-b599-10ae378680f0","Is China’s private equity ‘gold rush’ over?","https://www.ft.com/content/e6b9fb72-8ca2-433b-98f7-a96ecf6afe25","Plus, Chicken Soup for the Soul’s bankruptcy ensnares a private credit giant and defence contractors rake it in","https://www.ft.com/content/e6b9fb72-8ca2-433b-98f7-a96ecf6afe25","August 27, 2024","https://www.ft.com/content/e6b9fb72-8ca2-433b-98f7-a96ecf6afe25","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fe5c8170b-61e1-478b-92cd-f4a50d04f724.png?source=next&fit=scale-down&dpr=2&width=240"
"Live blog from August 13 2024","https://www.ft.com/content/c7287f08-a392-44b6-a3f5-06c410e2bc9c","Singapore’s economy grows 2.9% in second quarter","https://www.ft.com/content/c7287f08-a392-44b6-a3f5-06c410e2bc9c#post-c7b8f653-9d7e-4e67-b2e3-5a98ea8b23c6","Singapore’s economy grew by 2.9% year-on-year in the second quarter, in line with expectations, according to the Ministry of Trade and Industry. The m...","https://www.ft.com/content/c7287f08-a392-44b6-a3f5-06c410e2bc9c#post-c7b8f653-9d7e-4e67-b2e3-5a98ea8b23c6","","",""
"European Commission","https://www.ft.com/stream/e0c4f5e5-5ecc-404a-a236-afde4624e372","Why EU capitals have ignored von der Leyen’s gender balance request","https://www.ft.com/content/e0db0542-2ba7-45e2-a49f-582784b58e3c","Also in this newsletter: Are bloc member states ready to send military trainers to Ukraine?","https://www.ft.com/content/e0db0542-2ba7-45e2-a49f-582784b58e3c","August 26, 2024","https://www.ft.com/content/e0db0542-2ba7-45e2-a49f-582784b58e3c","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F04963359-2371-4736-8e06-9f57974e2da1.jpg?source=next&fit=scale-down&dpr=2&width=240"
"World","https://www.ft.com/stream/82645c31-4426-4ef5-99c9-9df6e0940c00","FirstFT: Defence groups set to rake in record cash as military spending soars","https://www.ft.com/content/2c985e84-2b60-431e-913a-b1ea92937f4a","Also in today’s newsletter: Harris fundraising surges, and why coincidence matters","https://www.ft.com/content/2c985e84-2b60-431e-913a-b1ea92937f4a","August 26, 2024","https://www.ft.com/content/2c985e84-2b60-431e-913a-b1ea92937f4a","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fc2334cc6-d525-4470-92e2-e26264742484.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Airlines","https://www.ft.com/stream/d83d0667-fb03-477f-8551-7e72f6234c41","Western airlines slash flights to China","https://www.ft.com/content/9156b23b-c74d-4daf-bfb2-c8ed61aebd7a","Chinese rivals take market share as US and European carriers struggle with weak demand and diversions around Russia","https://www.ft.com/content/9156b23b-c74d-4daf-bfb2-c8ed61aebd7a","August 19, 2024","https://www.ft.com/content/9156b23b-c74d-4daf-bfb2-c8ed61aebd7a","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F56156691-6407-4383-8dea-dfef3caa119b.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Central banks","https://www.ft.com/stream/a2ba2f54-495a-448f-9be5-09875e2f7083","Central banks should raise the bar for intervention","https://www.ft.com/content/9dd2d4cd-a130-406c-82e4-4edfc1883b41","Economic stabilisation may, paradoxically, raise the chances of financial market instability","https://www.ft.com/content/9dd2d4cd-a130-406c-82e4-4edfc1883b41","August 25, 2024","https://www.ft.com/content/9dd2d4cd-a130-406c-82e4-4edfc1883b41","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fc40f2d41-ac8e-4cc8-ab22-72684dc8b474.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Aerospace & Defence","https://www.ft.com/stream/5399a465-5c92-47e0-a4ca-29220636f629","Top defence contractors set to rake in record cash after orders soar","https://www.ft.com/content/5e368d70-b6e2-4433-a747-cdcfab061f27","Industry could step up share buybacks as large M&A opportunities are limited, analysts say","https://www.ft.com/content/5e368d70-b6e2-4433-a747-cdcfab061f27","August 26, 2024","https://www.ft.com/content/5e368d70-b6e2-4433-a747-cdcfab061f27","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F333d0576-2ccc-43ac-94b2-b9c96d880185.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Nato","https://www.ft.com/stream/0a5a4a47-a323-404b-b9aa-bfe2e1e84911","China rejects Nato accusations of supporting Russia’s war in Ukraine","https://www.ft.com/content/66b423ce-7fa2-4d37-acc2-9ed5ce19b628","Beijing accuses military alliance of ‘lies and smears’ and warns it to stay out of Asia","https://www.ft.com/content/66b423ce-7fa2-4d37-acc2-9ed5ce19b628","July 11, 2024","https://www.ft.com/content/66b423ce-7fa2-4d37-acc2-9ed5ce19b628","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fecef345a-d4cf-4eb1-9396-83310ae9b616.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US economy","https://www.ft.com/stream/6aa143a2-7a0c-4a20-ae90-ca0a46f36f92","The world can’t escape from a US economy that has lost its anchor","https://www.ft.com/content/13a49968-ae9e-4cc1-8922-2ba2339e4aa4","Financial markets are right to be jumpy ahead of November’s election","https://www.ft.com/content/13a49968-ae9e-4cc1-8922-2ba2339e4aa4","August 19, 2024","https://www.ft.com/content/13a49968-ae9e-4cc1-8922-2ba2339e4aa4","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F0af8c967-ee1d-42eb-adfc-2ed874bd45db.jpg?source=next&fit=scale-down&dpr=2&width=240"
"","","BAE upgrades profit forecast as military spending rises","https://www.ft.com/content/ec90a1b0-282c-421d-846c-68ff57198745","BAE Systems has lifted its profit forecast for the full year as Britain’s defence champion continues to benefit from heightened geopolitical tensions ...","https://www.ft.com/content/ec90a1b0-282c-421d-846c-68ff57198745","","",""
"Live blog from July 30 2024","https://www.ft.com/content/dc104fea-e825-47cd-912f-a2d2e725e832","French economy grows faster than expected in 2nd quarter","https://www.ft.com/content/dc104fea-e825-47cd-912f-a2d2e725e832#post-1c570d3e-536b-48a9-acc9-1f06b43c6614","The French economy grew faster than expected in the second quarter, brushing off fears that a nascent recovery in the wider Eurozone may be running ou...","https://www.ft.com/content/dc104fea-e825-47cd-912f-a2d2e725e832#post-1c570d3e-536b-48a9-acc9-1f06b43c6614","","",""
"Communist Party of Vietnam","https://www.ft.com/stream/21b598fc-2696-4746-a8a2-e9dae3dfe73d","Vietnam appoints President To Lam as Communist party chief","https://www.ft.com/content/69c90558-c002-4b9b-9220-e4666f0ce3a6","Former public security minister who oversaw anti-corruption crackdown succeeds longtime leader Nguyen Phu Trong","https://www.ft.com/content/69c90558-c002-4b9b-9220-e4666f0ce3a6","August 3, 2024","https://www.ft.com/content/69c90558-c002-4b9b-9220-e4666f0ce3a6","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F23091e93-d3fa-49ef-83e3-af6fe2522c8c.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Markets volatility","https://www.ft.com/stream/fca046a3-a5e3-43f4-9a09-e90418747ec7","Carry trades in requiem","https://www.ft.com/content/447fbfdc-6cf3-4b92-8767-d2735915e761","It’s over. Maybe","https://www.ft.com/content/447fbfdc-6cf3-4b92-8767-d2735915e761","August 7, 2024","https://www.ft.com/content/447fbfdc-6cf3-4b92-8767-d2735915e761","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F36c58e08-8ea4-4437-b737-0fd679927c1b.png?source=next&fit=scale-down&dpr=2&width=240"
"Chinese business & finance","https://www.ft.com/stream/dd3cc5a2-d14b-4b78-811c-89c387497476","Understanding China’s pragmatic AI plan","https://www.ft.com/content/e76d54e6-607f-4511-a2dc-db030feea0b9","While the US ecosystem has the edge in groundbreaking innovations, the Chinese one excels in execution","https://www.ft.com/content/e76d54e6-607f-4511-a2dc-db030feea0b9","July 31, 2024","https://www.ft.com/content/e76d54e6-607f-4511-a2dc-db030feea0b9","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fec60f4fd-3094-4287-885d-1cc2f79a6058.jpg?source=next&fit=scale-down&dpr=2&width=240"
"BAE Systems PLC","https://www.ft.com/stream/2c9b30e1-fae8-4901-88e4-4146ad766ebf","Defence group BAE lifts profit outlook after £15bn of new orders","https://www.ft.com/content/b6c4cf95-23a1-4c9d-8711-9f728d5c88b1","Chief executive Charles Woodburn is focused on Labour government’s UK defence review","https://www.ft.com/content/b6c4cf95-23a1-4c9d-8711-9f728d5c88b1","August 1, 2024","https://www.ft.com/content/b6c4cf95-23a1-4c9d-8711-9f728d5c88b1","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F24eacabe-6b2c-4bad-84df-820f1bfa0c8e.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Live blog from July 18 2024","https://www.ft.com/content/9457f44b-7b6e-473e-bbb6-8b1f381d458b","US stocks notch broad declines","https://www.ft.com/content/9457f44b-7b6e-473e-bbb6-8b1f381d458b#post-fb4542d1-3181-4633-bc96-fa0b2d576f40","US stocks fell on Thursday, with broader declines after a tech-focused sell-off during the previous session. Wall Street’s benchmark S&P 500 fell 0.8 ...","https://www.ft.com/content/9457f44b-7b6e-473e-bbb6-8b1f381d458b#post-fb4542d1-3181-4633-bc96-fa0b2d576f40","","",""
"Live blog from July 18 2024","https://www.ft.com/content/478d49ea-c3a8-453d-9e3e-51dd0da39493","US stocks notch broad declines","https://www.ft.com/content/478d49ea-c3a8-453d-9e3e-51dd0da39493#post-ac8cc8d4-ae60-42c3-9da8-e46a3ffd288c","US stocks fell on Thursday, with broader declines after a tech-focused selloff during the previous session. Wall Street’s benchmark S&P 500 fell 0.8 p...","https://www.ft.com/content/478d49ea-c3a8-453d-9e3e-51dd0da39493#post-ac8cc8d4-ae60-42c3-9da8-e46a3ffd288c","","",""
"Markets volatility","https://www.ft.com/stream/fca046a3-a5e3-43f4-9a09-e90418747ec7","Wall Street stages partial rebound after Japanese stocks surge","https://www.ft.com/content/4afd94b8-5224-48c5-a0b0-65fc52cd238e","Tokyo equities jump 9% following Monday’s global rout but US and European recoveries were more muted","https://www.ft.com/content/4afd94b8-5224-48c5-a0b0-65fc52cd238e","August 6, 2024","https://www.ft.com/content/4afd94b8-5224-48c5-a0b0-65fc52cd238e","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fbc8704fd-b5d0-4988-a390-eac1802787c6.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Apple Inc","https://www.ft.com/stream/a39a4558-f562-4dca-8774-000246e6eebe","Apple revenues rise on strong services business and iPad sales","https://www.ft.com/content/db0b3798-5c5d-4279-9f26-38b0e23136b1","Company bullish on iPhone upgrades from AI products even as it confronts China slowdown and fall in smartphone purchases","https://www.ft.com/content/db0b3798-5c5d-4279-9f26-38b0e23136b1","August 1, 2024","https://www.ft.com/content/db0b3798-5c5d-4279-9f26-38b0e23136b1","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fe5f454e9-07a6-4100-8585-43933d3cd9a2.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Live blog from July 15 2024","https://www.ft.com/content/4e5ee308-ce72-49f9-a181-684618d78b12","Jobs market unlikely to improve before 2025, says Robert Walters","https://www.ft.com/content/4e5ee308-ce72-49f9-a181-684618d78b12#post-e387e051-bde6-471d-a979-5d2c98c9a8eb","Recruitment group Robert Walters said confidence in the jobs market was unlikely to improve before next year as it announced weakened fee income in th...","https://www.ft.com/content/4e5ee308-ce72-49f9-a181-684618d78b12#post-e387e051-bde6-471d-a979-5d2c98c9a8eb","","",""
"L'Oreal SA","https://www.ft.com/stream/4a8721d8-508d-4e2d-92df-15f607bbff5a","L’Oréal sales hit by China slowdown","https://www.ft.com/content/1f446067-2cf8-4abb-8a3f-065951e39a9f","World’s biggest beauty group says conditions in Asian country remain ‘challenging’","https://www.ft.com/content/1f446067-2cf8-4abb-8a3f-065951e39a9f","July 30, 2024","https://www.ft.com/content/1f446067-2cf8-4abb-8a3f-065951e39a9f","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F98a576b5-7af4-4f59-b264-2d621441ec84.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Financial & markets regulation","https://www.ft.com/stream/baf2d326-7e13-4309-9f87-3eb1708468ff","Top financial watchdog says shadow bank vulnerabilities yet to be fixed","https://www.ft.com/content/82fa6805-aa6c-461a-8874-11883a7d906a","FSB’s Klaas Knot warns global tensions and rising debt levels increase risk of new financial crisis","https://www.ft.com/content/82fa6805-aa6c-461a-8874-11883a7d906a","July 22, 2024","https://www.ft.com/content/82fa6805-aa6c-461a-8874-11883a7d906a","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb2134a01-ad6e-4ecb-b032-b6c58832114d.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Chinese business & finance","https://www.ft.com/stream/dd3cc5a2-d14b-4b78-811c-89c387497476","An ill wind blows for China’s renewable groups","https://www.ft.com/content/3c47c243-e7fe-4331-bc83-fc4cf91cbb12","Shares of the country’s largest turbine makers reflect concerns about overcapacity at home and obstacles to global growth","https://www.ft.com/content/3c47c243-e7fe-4331-bc83-fc4cf91cbb12","July 25, 2024","https://www.ft.com/content/3c47c243-e7fe-4331-bc83-fc4cf91cbb12","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F96019dde-a28c-477b-b644-9acb4b74b825.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Eurozone economy","https://www.ft.com/stream/248d873c-6689-4764-bede-cab061889217","Eurozone economy grows 0.3% over second quarter","https://www.ft.com/content/edcf745b-e538-4be0-8d70-8011b4b0fc77","Economists say data marginally raises chances of ECB cutting rates again at next meeting","https://www.ft.com/content/edcf745b-e538-4be0-8d70-8011b4b0fc77","July 30, 2024","https://www.ft.com/content/edcf745b-e538-4be0-8d70-8011b4b0fc77","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F632ef8d8-00ef-495e-95da-8057cca0a304.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Standard Chartered PLC","https://www.ft.com/stream/2c87f7a2-b5f7-48d6-99d3-3d1f3a247d97","Standard Chartered chief praises ‘serious’ UK Labour government","https://www.ft.com/content/27f297f1-e00e-4601-b41f-0398f7b27e58","Bill Winters cites ‘attractiveness’ of new administration as bank reports rising profits","https://www.ft.com/content/27f297f1-e00e-4601-b41f-0398f7b27e58","July 30, 2024","https://www.ft.com/content/27f297f1-e00e-4601-b41f-0398f7b27e58","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F5c3a0878-6d48-4dc5-83d8-5eadb8908e96.jpg?source=next&fit=scale-down&dpr=2&width=240"
"","","PageGroup warns on profits as jobs market deteriorates","https://www.ft.com/content/4939c9ff-3717-4c3f-9634-72e06e4f5c22","Global recruitment firm PageGroup has warned on profits, as geopolitical tensions and economic uncertainty continued to hit the jobs market. Announcin...","https://www.ft.com/content/4939c9ff-3717-4c3f-9634-72e06e4f5c22","","",""
"New Zealand","https://www.ft.com/stream/c90cd51c-4dfa-4f7e-9ab6-942c6e2fff62","New Zealand prime minister vows to name and shame China over spying","https://www.ft.com/content/85f96392-5f71-4b21-8365-0847f7c625d2","Christopher Luxon, in FT interview, says he wants to raise business awareness of the threat","https://www.ft.com/content/85f96392-5f71-4b21-8365-0847f7c625d2","July 14, 2024","https://www.ft.com/content/85f96392-5f71-4b21-8365-0847f7c625d2","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fc5225774-211f-4991-ad28-530b06f0dde5.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Indonesia","https://www.ft.com/stream/6593e3b2-8dbf-4e6b-85a8-d91ee6099c81","Indonesia moves to reduce Chinese ownership of nickel projects","https://www.ft.com/content/0f8e2fe8-c7cb-4d6a-9436-1cb1806af4e0","Jakarta wants to help its industry qualify for tax credits under Joe Biden’s initiative to build a US electric vehicle supply chain","https://www.ft.com/content/0f8e2fe8-c7cb-4d6a-9436-1cb1806af4e0","July 26, 2024","https://www.ft.com/content/0f8e2fe8-c7cb-4d6a-9436-1cb1806af4e0","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F426de403-6b31-4f37-b21d-85204afef552.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Paris Olympics","https://www.ft.com/stream/a76bfe5d-ae58-4663-9649-c38ac1325009","Terror plots and politics as Macron’s Olympic Games begin","https://www.ft.com/content/cba7e26a-9773-4525-8b68-537d6cbdc1e5","Also in this newsletter: some advice from Norway’s prime minister to the UK","https://www.ft.com/content/cba7e26a-9773-4525-8b68-537d6cbdc1e5","July 26, 2024","https://www.ft.com/content/cba7e26a-9773-4525-8b68-537d6cbdc1e5","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F4fc068ba-878c-44a2-93c7-bc872021382a.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Asia manufacturing","https://www.ft.com/stream/1b5c4ab6-61e0-43ea-9a05-cef37a14f5e9","Chinese low-tech manufacturers hanging on by ‘their fingernails’","https://www.ft.com/content/84ac9536-a6d6-456d-b3b4-7db998bc9cc2","Clothing, toy and furniture factories hit by anaemic orders, trade restrictions and growing competition","https://www.ft.com/content/84ac9536-a6d6-456d-b3b4-7db998bc9cc2","July 30, 2024","https://www.ft.com/content/84ac9536-a6d6-456d-b3b4-7db998bc9cc2","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ffd7366a4-5474-46cd-a5b4-4ce6a2b11b0b.jpg?source=next&fit=scale-down&dpr=2&width=240"
